Id,Name,Notes
237,"Initiation and Maintenance Difficulties of Sleep (Includes dyssomnia, restlessness, need for physical proximity to caregiver)","ONLY use when caregiver describes persistent sleep initiation or maintenance problems: 'can't fall asleep', 'wakes up constantly', 'needs parent to sleep', 'dyssomnia', 'restless sleep every night' - NOT for occasional sleep difficulties, temporary sleep disruptions, or age-appropriate sleep needs."
238,Narcolepsy/Excessive Daytime Sleepiness,"ONLY use when caregiver or clinician explicitly states narcolepsy diagnosis or excessive daytime sleepiness: 'narcolepsy', 'falls asleep suddenly', 'excessive daytime sleepiness', narcolepsy medication - NOT for normal tiredness, occasional sleepiness, or drowsiness during illness."
239,Restless Legs,"ONLY use when caregiver describes restless leg syndrome symptoms: 'legs feel restless', 'RLS', 'can't keep legs still', 'uncomfortable leg sensations', 'needs to move legs constantly', occurs after going to bed, often leading to insomnia — NOT for normal fidgeting, occasional leg movement, or general restlessness"
240,Sleep Apnea (Includes snoring),"ONLY use when caregiver describes sleep apnea or significant snoring: 'stops breathing during sleep', 'sleep apnea', 'loud snoring', 'CPAP machine', 'BiPAP', sleep study showing apnea - NOT for occasional snoring, mouth breathing, or normal sleep sounds."
241,"Sleep Duration, Abnormal","ONLY use when caregiver describes significantly abnormal sleep duration: 'sleeps only 3 hours', 'sleeps 16 hours a day', 'sleep time is way off for age', 'unusual sleep duration', or reports abnormalities in quality and characteristics of sleep — NOT for normal sleep variations, short naps, or temporary sleep changes during illness"
242,Parasomnia (includes sleepwalking),"ONLY use when caregiver describes parasomnia behaviors: 'sleepwalking', 'night behaviors', 'does things while sleeping', 'parasomnia', 'acts out dreams' - NOT for restless sleep, talking in sleep, or seizures during sleep."
243,SUDEP (seizure in sleep causing death),"ONLY use when caregiver or clinician explicitly discusses SUDEP risk or occurrence: 'SUDEP risk', 'sudden death from seizures', 'seizure-related death risk', SUDEP counseling provided - NOT for general seizure concerns, sleep seizures without SUDEP discussion, or seizure safety without SUDEP risk."
244,Teeth Grinding (includes when awake bruxism),"ONLY use when caregiver describes frequent teeth grinding: 'grinds teeth', 'bruxism', 'clenches jaw', 'teeth grinding at night', dental guard needed - NOT for occasional jaw clenching, stress-related grinding, or single episodes of grinding."
245,"Terrors, night terrors (unable to describe)","ONLY use when caregiver describes night terrors: 'night terrors', 'screams in sleep but can't remember', 'terror episodes at night', 'wakes up scared but can't explain' - NOT for nightmares with recall, bad dreams, or fears that can be described."
246,Visual,"ONLY use as a domain header for organizing Visual conditions - NOT for coding individual patient visual symptoms or diagnoses. Loss of visual acuity implies vision was better at a certain time point in life, distinct from reduced visual acuity. — NOT for coding individual patient visual symptoms or diagnoses, and NOT to be used when there is no prior better vision implied (in which case 'reduced visual acuity' or a subclass would be more appropriate)."
247,Alacrima (absent tears),"ONLY use when caregiver or clinician explicitly describes absent tear production: 'doesn't make tears', 'eyes don't water', 'alacrima', 'can't cry tears', 'dry eyes from no tears' - NOT for occasional dry eyes, reduced crying, or temporary tear reduction."
248,Amblyopia (Includes lazy eye),"ONLY use when caregiver or clinician explicitly states lazy eye diagnosis: 'lazy eye', 'amblyopia', 'one eye doesn't work as well', eye patch treatment, vision therapy for lazy eye - NOT for vision differences, eye alignment issues, or visual concerns without amblyopia diagnosis."
249,Blindness,"ONLY use when caregiver or clinician explicitly states patient is blind or has severe vision loss: 'blind', 'can't see', 'no vision', 'legally blind', braille instruction, guide dog training, visual acuity less than 3/60 on the 6m scale, less than 20/400 on the 20ft scale, less than 0.05 on the decimal scale, or visual field of no greater than 10 degrees in radius around central fixation. Also include when blindness with onset specifically at birth is documented. — NOT for poor vision, vision impairment, or reduced vision without blindness diagnosis, or when visual acuity or visual field measurements exceed the thresholds for clinical blindness."
250,Cataracts,"ONLY use when caregiver or clinician explicitly states cataract diagnosis: 'cataracts', 'cloudy lens', 'cataract surgery', 'lens opacity', or specifically mentions opacity/clouding that develops in the crystalline lens of the eye or its capsule. This includes presenile cataracts occurring in early adulthood or posterior subcapsular cataracts with iridescent color. — NOT for general vision problems, eye cloudiness without cataract diagnosis, vision changes without specific cataract finding, or any visual impairment not explicitly associated with lens opacity."
251,Cortical Visual Impairment (Includes suspected but not proven),"ONLY use when caregiver or clinician explicitly states cortical visual impairment: 'CVI', 'cortical visual impairment', 'brain doesn't process vision', 'eyes work but brain doesn't see' - NOT for general vision problems, refractive errors, or developmental vision concerns without CVI diagnosis."
252,"Eye Movement, Abnormal (includes dystonic)","ONLY use when caregiver describes abnormal eye movements: 'eyes move strangely', 'dystonic eye movements', 'eyes jerk', 'abnormal eye tracking', 'eyes don't move together' - NOT for normal eye movement variations, occasional eye wandering, or tracking issues during development."
253,"Nystagmus (Includes Nystagmus'-'like, opsoclonus'-'like eye movement issue, aberrant gaze saccades)","ONLY use when caregiver or clinician describes involuntary eye movements: 'nystagmus', 'eyes shake', 'dancing eyes', 'opsoclonus', 'eyes move back and forth on their own' - NOT for voluntary eye movements, normal tracking, or occasional eye fluttering."
254,Oculogyric Crisis ,"ONLY use when caregiver or clinician explicitly describes oculogyric crisis episodes: 'eyes roll up and get stuck', 'oculogyric crisis', 'eyes deviate upward involuntarily', emergency treatment for eye crisis, blepharospasm, periorbital twitches, protracted fixed staring episodes, and maximal upward deviation of the eyes in a sustained fashion. Oculogyric crisis can be triggered by a number of factors including neuroleptic medications. — NOT for normal eye rolling, voluntary eye movements, or other eye movement abnormalities."
255,"Eye, Anatomical Abnormalities (includes epicanthic folds, downslanting palpebral fissures, asymetrical ptosis, puffy eyelids, long eyelashes)","ONLY use when caregiver or clinician describes structural eye abnormalities: 'droopy eyelids', 'ptosis', 'epicanthic folds', 'eye shape abnormal', 'puffy eyelids', surgery for eyelid problems - NOT for normal eye variations, family eye features, or minor asymmetry without structural abnormalities."
256,Light Sensitivity (photosensitive),"ONLY use when caregiver describes significant light sensitivity: 'can't tolerate bright lights', 'photosensitive', 'squints in normal light', 'needs sunglasses indoors', 'light hurts eyes' - NOT for normal light preferences, temporary light sensitivity, or occasional squinting in bright sun."
257,"Optic Nerve Abnormality (includes atrophy, hypoplasia)","ONLY use when caregiver or clinician explicitly states optic nerve abnormalities: 'optic nerve atrophy', 'optic nerve hypoplasia', 'optic nerve doesn't work right', 'pale optic nerve', ophthalmology treatment for optic nerve - NOT for general vision problems, eye issues, or visual concerns without specific optic nerve abnormality."
258,"Strabismus (includes abnormal eye movements, tracking difficulties, exotropia)","ONLY use when caregiver or clinician explicitly states eye alignment problems: 'strabismus', 'crossed eyes', 'wall eyes', 'exotropia', 'eyes don't line up', eye surgery for alignment - NOT for occasional eye wandering, tracking difficulties during development, or normal eye coordination variations."
259,"Visual Impairment (includes peripheral vision loss, nearsightedness, farsightedness, needs glasses)","ONLY use when caregiver describes significant vision problems requiring correction: 'needs glasses', 'nearsighted', 'farsighted', 'can't see well', 'vision impairment', vision services needed - NOT for normal vision variations, occasional squinting, or vision concerns without documented impairment."
260,Visual'-'Spatial Issues (Includes depth perception),"ONLY use when caregiver describes visual-spatial processing problems: 'can't judge distances', 'depth perception problems', 'bumps into things', 'visual-spatial issues', 'trouble with spatial relationships' - NOT for occasional clumsiness, normal exploration, or minor coordination issues without visual-spatial processing concerns."
261,INDIVIDUAL IMPACTS,ONLY use as a category header for organizing Individual Impact concepts - NOT for coding individual patient impacts or symptoms.
262,Distal Impacts,ONLY use as a domain header for organizing Distal Impact conditions - NOT for coding individual patient distal impacts or symptoms.
263,Education Impact,"ONLY use when caregiver explicitly describes condition affecting educational progress: 'condition affects school', 'education is impacted', 'school performance suffers', 'learning is affected by condition' - NOT for normal academic challenges, age-appropriate learning variations, or educational concerns unrelated to medical condition."
264,Absenteeism,"ONLY use when caregiver describes frequent school absences due to medical condition: 'misses school often because of condition', 'frequent absences', 'out of school a lot', 'condition causes school absences' - NOT for occasional sick days, normal absences, or absences unrelated to the medical condition."
265,"Academic Support Needed, IEP, Individualized Education Plan","ONLY use when caregiver explicitly states special education services: 'has an IEP', '504 plan', 'special education', 'always has a para', 'individualized education plan' - NOT for general tutoring, occasional help, or academic support without formal special education documentation."
266,Curriculum Adaptations,"ONLY use when caregiver describes modified curriculum for the patient: 'curriculum is adapted', 'modified assignments', 'different curriculum', 'school work is changed for condition' - NOT for normal accommodations, extra time, or teaching style adjustments without curriculum modification."
267,Diet '-' specialized implementation necessary ,"ONLY use when caregiver describes medically necessary special diet: 'special diet required', 'restricted diet for condition', 'medical diet', 'can only eat certain foods', nutritionist involvement, or cases where symptoms are improved or made more bearable by following a ketogenic diet — NOT for food preferences, picky eating, or dietary choices without medical necessity"
268,Educational Setting Restricted ,"Home'-'based setting Necessary, Home school "
269,"Nursing, in'-'school","ONLY use when caregiver explicitly states school nursing services: 'has a nurse at school', 'school nurse needed', 'in-school nursing', 'medical care at school' - NOT for occasional nurse visits, medication reminders, or general health monitoring without dedicated nursing services."
270,Shortened school day,"ONLY use when caregiver states reduced school hours due to condition: 'mornings only', 'half days', 'goes to school at 10 AM', 'shortened day', 'early dismissal needed' - NOT for normal early dismissal, after-school activities, or schedule preferences without medical necessity."
271,"Literacy and/or writing, severely delayed","ONLY use when caregiver describes severe reading/writing delays compared to peers: 'can't read at all', 'writing is severely behind', 'literacy is way below grade level', 'severely delayed reading/writing' - NOT for mild delays, learning differences, or age-appropriate literacy development variations."
272,Social and Family Impact,"ONLY use when caregiver describes condition significantly affecting social/family functioning: 'condition impacts family life', 'affects social situations', 'family/social functioning suffers' - NOT for normal family challenges, minor social adjustments, or typical developmental social changes."
273,"Behaviors are challenging in social situations, such as yelling, stubbornness, demanding, or withdrawn","ONLY use when caregiver describes behaviors that significantly disrupt social settings: 'yells in public', 'stubborn in social situations', 'withdrawn from groups', 'demanding behavior embarrasses family' - NOT for occasional social challenges, age-appropriate assertiveness, or mild social preferences."
274,"Communication, difficult to be understood outside the family","ONLY use when caregiver states patient's communication is clear to family but unclear to others: 'only family understands speech', 'teachers can't understand', 'strangers don't know what they're saying', 'communication only works with family' - NOT for mild articulation issues, age-appropriate speech development, or occasional communication difficulties."
275,"Engaged socially (Capable of social engagement, establishing intentional relationships)","ONLY use when caregiver describes clear social engagement and relationships: 'makes friends', 'socially engaged', 'establishes relationships', 'connects with others', 'social reciprocity present' - NOT for minimal social interaction, parallel play, or social behaviors without genuine engagement/relationships."
276,Extracurricular activities require adaptations,"ONLY use when caregiver describes activities needing modification for patient participation: 'sports require adaptations', 'activities must be modified', 'needs accommodations for clubs', 'adaptations needed for participation', including difficulty performing daily activities like eating, bathing, dressing, grooming, work, and homemaking, which may require adaptations or modifications for participation — NOT for choosing easier activities, natural modifications, or activities suited to abilities without formal adaptations"
277,"Impulsive or Inappropriate social behavior (may greet people with grabbing, overly friendly)","ONLY use when caregiver describes socially inappropriate impulsive behaviors: 'grabs strangers', 'hugs everyone', 'touches people's faces', 'overly friendly with strangers', 'inappropriate social impulses' - NOT for normal friendliness, age-appropriate social behavior, or mild social boundary issues."
278,"Laughter, Inappropriate (not typical social context)","ONLY use when caregiver describes laughing at inappropriate times: 'laughs during serious conversations', 'laughs at others' pain', 'inappropriate laughter', 'laughs for no reason in wrong situations' - NOT for nervous laughter, age-appropriate humor, or occasional inappropriate timing."
279,Law enforcement encounters - includes security guards and police (individual impact),"ONLY use when caregiver describes actual encounters with law enforcement due to patient behaviors: 'police called', 'security involved', 'law enforcement encounters', 'arrested', 'police intervention needed' - NOT for general safety concerns, hypothetical scenarios, or family fears without actual encounters."
280,"Navigating new environments, needs assistance","ONLY use when caregiver describes patient requires help in new environments: 'needs help in new places', 'can't navigate unfamiliar areas', 'gets lost easily', 'requires assistance in new environments' - NOT for normal caution in new places, age-appropriate supervision needs, or mild orientation challenges."
281,"Safety (cross street, elopement, burn risk), Judgement Impaired, Danger Awareness Decreased","ONLY use when caregiver describes significant safety concerns due to impaired judgment: 'runs into traffic', 'elopes/wanders', 'no danger awareness', 'burns self', 'doesn't understand safety' - NOT for normal risk-taking, age-appropriate safety learning, or mild impulsivity without significant danger."
282,"Sibling relationships, typical",Only use when caregiver explicitly describes TYPICAL/NORMAL sibling interactions or relationships. The mere mention of siblings does not qualify.
283,"Social isolation (includes isolation because of treatments, inability to communicate, inability to move)",REVIEW FEEDBACK: DO NOT confuse with [306] Activities of Daily Living (ADL): Requires 100% Support  . | DO NOT confuse with [107] Reflux (Includes GERD).
284,Sports or Play with others (difficult or impossible),"ONLY use when caregiver describes patient cannot participate in sports/play with others: 'can't play with other kids', 'sports are impossible', 'too difficult to play with others', 'needs help to play' - NOT for sports preferences, choosing individual activities, or age-appropriate play variations."
285,"Transitioning issues (difficulty adapting to change, routine needed, rigid behavior)","REVIEW FEEDBACK: DO NOT confuse with [72] Speech, Absent (Non-speaking)."
286,Work Impact,"ONLY use when caregiver describes condition affecting current or future work ability: 'condition will affect work', 'can't work because of condition', 'work is impacted', 'employment affected' - NOT for normal career concerns, educational planning, or work preferences without condition-related impact."
287,"Work, Difficult or Impossible","ONLY use when caregiver describes work participation is severely limited: 'can't work', 'work is impossible', 'unable to hold a job', 'work is too difficult', 'employment not possible' - NOT for career challenges, job preferences, or normal work-related concerns without severe functional limitations."
288,"Work, Reduced Schedule ","ONLY use when caregiver describes patient requires reduced work schedule due to condition: 'works part-time because of condition', 'reduced hours needed', 'can't work full-time', 'schedule reduced for medical reasons' - NOT for normal part-time preferences, educational scheduling, or work choices unrelated to medical condition."
289,Proximal Impacts,ONLY use as a domain header for organizing Proximal Impact conditions - NOT for coding individual patient proximal impacts or symptoms.
290,Health Impact (individual impact),"ONLY use when caregiver describes overall health burden on patient: 'condition affects overall health', 'health is impacted', 'illness burden', 'fatigue from condition', 'health suffers' - NOT for specific symptoms already coded elsewhere, normal tiredness, or temporary health issues."
291,"Appointments, Frequent (individual impact)",REVIEW FEEDBACK: DO NOT confuse with [107] Reflux (Includes GERD).
292,"Hospitalizations, Frequent (individual impact)","ONLY use when caregiver describes multiple hospitalizations or frequent hospital stays: 'hospitalized several times', 'frequent hospitalizations', 'in hospital a lot', 'multiple admissions', 'recurring hospital stays' - NOT for single hospitalizations, planned procedures, or emergency visits without pattern of frequent admissions."
293,ICU,"ONLY use when caregiver explicitly states patient required intensive care: 'was in ICU', 'intensive care unit', 'critical care', 'life support', 'ICU stay' - NOT for regular hospital stays, monitoring, or emergency department visits without ICU-level care."
294,NICU,"ONLY use when caregiver explicitly states patient required neonatal intensive care: 'was in NICU', 'neonatal intensive care', 'special care nursery', 'NICU baby' - NOT for normal newborn nursery, brief observation, or routine postnatal care without intensive neonatal care."
295,Overall Health Impaired,"ONLY use when caregiver describes patient's overall health as significantly compromised: 'overall health is poor', 'health is impaired', 'generally unhealthy', 'health problems affect everything', or when there is diminished physical functioning showing reduction in ability to perform activities of daily living compared to previous abilities due to functional deficits from illness, which may be measured using tools like the 36-item Short Form (SF-36) health survey questionnaire — NOT for specific conditions already coded, temporary illness, normal health variations, or when diminished functioning is limited to a specific activity without affecting overall health status"
296,Cancer Risk Increased,Gene mutation confers a higher lifetime risk of developing cancer 
297,Falls,"REVIEW FEEDBACK: DO NOT confuse with [200] Hypotonia. If the rationale describes low muscle tone, floppy posture, or inability to hold self up, use Hypotonia instead. Only use Falls when actual falling events are described."
298,Mortality Risk Increased,"ONLY use when caregiver or clinician explicitly discusses elevated death risk: 'risk of death', 'life-threatening condition', 'mortality risk', 'could be fatal', 'life expectancy affected' - NOT for general health concerns, serious conditions without mortality discussion, or family fears without clinical mortality risk assessment."
299,Pain,"ONLY use when caregiver describes pain as frequent or significant issue: 'has pain often', 'chronic pain', 'pain is a problem', 'hurts frequently', pain medication needed, or when there is an unpleasant sensory and emotional experience associated with actual or potential tissue damage specifically related to multiple subcutaneous lipoma — NOT for occasional discomfort, temporary pain during illness, or minor aches without significant pain pattern"
300,Resuscitation Needed,"ONLY use when caregiver explicitly states resuscitation was required: 'needed to be resuscitated', 'CPR performed', 'stopped breathing and needed help', 'resuscitation required', emergency resuscitation - NOT for breathing support, medical emergencies without resuscitation, or respiratory assistance without actual resuscitation."
301,Severely Ill,"ONLY use when caregiver describes patient as severely ill: 'severely ill', 'very sick', 'critically ill', 'life-threatening illness', 'gravely ill' - NOT for normal illness, chronic conditions without severity, or temporary sickness without severe illness description."
302,Suffering,"ONLY use when caregiver explicitly states patient is suffering: 'suffering', 'in agony', 'enduring pain', 'tremendous suffering', 'quality of life poor due to suffering' - NOT for discomfort, normal illness effects, or challenges without explicit suffering description."
303,Perinatal,"ONLY use when caregiver describes perinatal events as focus of current impact: 'birth complications still affecting', 'perinatal issues continue to impact', 'prenatal problems affecting now' - NOT for resolved perinatal events, past birth history without current impact, or perinatal factors not currently affecting patient."
304,"Surgical/Medical Interventions, Necessary, Frequent","ONLY use when caregiver describes repeated procedures or frequent medical interventions: 'frequent surgeries', 'procedures all the time', 'repeated medical interventions', 'constant procedures needed' - NOT for single procedures, routine follow-ups, or occasional medical interventions without frequency pattern."
305,Self Care and Daily Living Impact,"ONLY use when caregiver describes significant impacts on patient's self-care and daily living activities: 'can't dress himself', 'needs help with all daily activities', 'daily living severely affected', 'self-care is impossible', including substantial difficulties with eating, bathing, grooming, work, homemaking, or leisure activities. — NOT for minor assistance needs, age-appropriate dependence, or temporary help without significant daily living impact."
306,Activities of Daily Living (ADL): Requires 100% Support  ,"lacks independence, includes all levels of assistance "
307,Assistance with Activities of Daily Living (ADL): Requires Partial Support,Capable of Self'-'Care; need assistance with independent living
308,Assisted Living Facility (ALF),"ONLY use when caregiver states patient resides in assisted living facility: 'lives in assisted living', 'ALF resident', 'assisted living facility', 'residential care facility' - NOT for nursing homes, group homes, or independent living with services without formal assisted living facility placement."
309,Bathing assistance needed (includes all hygiene),"ONLY use when caregiver describes patient needs help with bathing or hygiene: 'needs help bathing', 'can't wash self', 'hygiene assistance required', 'help with brushing teeth' - NOT for normal supervision, reminders for hygiene, or age-appropriate assistance without ongoing need."
310,Dressing assistance needed,"ONLY use when caregiver describes patient needs help with dressing: 'needs help getting dressed', 'can't put on clothes', 'dressing assistance required', 'help with buttons/zippers' - NOT for choosing clothes, normal supervision, or age-appropriate dressing development."
311,Eating and drinking assistance needed,Feeding 
312,Following complex directions,"ONLY use when caregiver describes patient cannot follow multi-step directions: 'can't follow complex directions', 'struggles with multi-step instructions', 'needs simple directions only', 'complex directions are too hard' - NOT for age-appropriate direction-following, occasional confusion, or need for clear instructions without complexity issues."
313,Household tasks assistance needed (includes preparing food),"ONLY use when caregiver describes patient needs help with household tasks: 'can't do chores', 'needs help with meal prep', 'household tasks too difficult', 'assistance with cooking needed' - NOT for age-appropriate chore expectations, normal supervision, or tasks beyond patient's developmental level."
314,Mobility assistance needed,"ONLY use when caregiver describes patient needs help moving around: 'needs help walking', 'mobility assistance required', 'wheelchair needed', 'help getting around', 'mobility equipment needed' - NOT for normal supervision, occasional assistance, or mobility preferences without assistance requirement."
315,Regression in Activities of Daily Living (ADL),"Only use when caregiver explicitly describes LOSS of previously acquired ADL skills (e.g., used to dress independently, now cannot). General difficulty with ADLs is [307] Assistance with ADL. Regression in other domains should use the specific regression code."
316,Toileting assistance needed,"ONLY use when caregiver describes patient needs help with toileting: 'needs help with bathroom', 'toileting assistance required', 'uses pull-ups', 'help with bowel/bladder', requires help transferring to the toilet, needs assistance cleaning themselves, or uses bedpan or commode — NOT for normal potty training, occasional accidents, or age-appropriate toilet learning without ongoing assistance need"
317,CAREGIVER IMPACTS,ONLY use as a category header for organizing Caregiver Impact concepts - NOT for coding individual caregiver impacts or symptoms.
318,Caregiver and Family Burden,ONLY use as a domain header for organizing Caregiver and Family Burden conditions - NOT for coding individual caregiver burden impacts or symptoms.
319,Caregiver Effort Requirement,"ONLY use when caregiver describes high workload due to patient care: 'takes a lot of effort', 'caregiving is demanding', 'requires significant care', 'high care needs', 'exhausting to care for' - NOT for normal parenting efforts, routine care, or typical child supervision without excessive effort description."
320,"Advocacy Role, advocacy for patient provided by caregiver",Pritoriy of patient needs also fits here
321,"Appointments, frequent (caregiver impact)","ONLY use when caregiver describes frequent appointment management burden: 'always at appointments', 'appointments consume my time', 'frequent appointment coordination', 'appointment burden is high' - NOT for routine medical follow-ups, occasional appointments, or normal medical management without frequency burden."
322,Diagnostic odyssey,"ONLY use when caregiver describes prolonged, complex path to diagnosis: 'diagnostic odyssey', 'long road to diagnosis', 'years to get diagnosis', 'complex diagnostic journey', 'many doctors before diagnosis' - NOT for normal diagnostic process, single specialist referrals, or straightforward diagnostic workup."
323,"Hospitalizations, frequent (caregiver impact)","ONLY use when caregiver describes repeated hospitalizations causing caregiver stress/burden: 'hospitalized frequently', 'always in the hospital', 'multiple hospital stays', 'hospital visits are overwhelming' - NOT for single hospitalizations, planned admissions, or hospital visits without caregiver burden description."
324,"Medical Care'-' medical interventions must be provided by caregiver and family members(medications, bowl wash out, chest physio, etc.)","ONLY use when caregiver describes providing complex medical care at home: 'give medications at home', 'do chest physio', 'perform medical procedures', 'provide medical care', 'home medical interventions' - NOT for simple medication administration, basic care tasks, or medical care provided by professionals without family involvement."
325,"Time needed for care (e.g. feeding, morning & bedtime routines, organization of medical care)","ONLY use when caregiver describes significant time consumption for patient care: 'care takes hours', 'routines consume my day', 'medical care organization takes all my time', 'care is very time-consuming' - NOT for normal parenting time, routine care schedules, or typical daily activities without excessive time burden."
326,Daily Living Impacts,"ONLY use when caregiver describes significant impacts on daily living: 'daily life is affected', 'condition impacts our daily routine', 'daily living is disrupted', 'affects how we live daily' - includes impacts on activities of daily living such as eating, bathing, dressing, grooming, work, homemaking, and leisure — NOT for minor adjustments, normal parenting adaptations, or routine accommodations without significant daily living impact"
327,Formal Support System Needed,"ONLY use when caregiver describes need for formal support services: 'need respite services', 'formal supports required', 'agency help needed', 'professional support services' - NOT for informal family help, normal community resources, or occasional assistance without formal support system needs."
328,Family members,"REVIEW FEEDBACK: DO NOT confuse with [307] Assistance with Activities of Daily Living (ADL): Requires Partial Support. | This code is for when the caregiver describes the IMPACT on family members (burden, stress, changes in their lives). Do NOT use just because family members are mentioned as providing help or existing."
329,Government Assistance,"ONLY use when public assistance programs are explicitly used or sought: 'applying for government assistance', 'receiving public aid', 'disability benefits', 'welfare assistance', 'government support programs' - NOT for insurance coverage, private assistance, or theoretical discussion of benefits without actual use/seeking."
330,Nursing 24 hr,"ONLY use when 24-hour nursing is in place or needed: '24-hour nursing', 'round-the-clock nursing', '24/7 nursing care', 'continuous nursing', 'full-time nursing' - NOT for part-time nursing, occasional nursing visits, or nursing assistance without 24-hour requirement."
331,Other Caregivers,"ONLY use when non-parent caregivers are involved: 'grandparents help with care', 'babysitter provides care', 'other family caregivers', 'non-parent caregiver', 'extended family helps' - NOT for normal babysitting, occasional help, or parent-only care without other caregivers."
332,Respite,"ONLY use when respite services are used or needed: 'respite care', 'need respite services', 'respite provider', 'formal respite', 'respite program' - NOT for normal babysitting, family help, or temporary care without formal respite services."
333,"Household tasks (difficult to complete), includes caring for other children","ONLY use when caregiver describes difficulty completing household tasks due to patient care: 'can't keep up with housework', 'household tasks are overwhelming', 'hard to care for other children', 'home management is difficult' - NOT for normal household management, temporary busy periods, or household tasks without care-related difficulty."
334,Emotional Impact,"ONLY use when explicitly stated emotional impact for patient/caregiver: 'emotional impact', 'emotionally affected', 'emotional consequences', 'affects emotions', 'emotional toll', increased tendency to express emotions compared to previous norm, or reduction in tendency to express emotions noticed as a behavior change by family/peers — NOT for ruled-out situations, hypothetical scenarios, or screening mentions without actual emotional impact"
335,Anxiety and stress,"ONLY use when clinician/caregiver reports persistent anxiety: 'anxiety disorder', 'panic attacks', 'social anxiety', 'separation anxiety', 'persistent stress', 'chronic anxiety', or when there are intense feelings of nervousness, tension, panic in response to interpersonal stresses, feelings of being fearful, apprehensive, or threatened by uncertainty, fears of falling apart or losing control, future-oriented worry accompanied by negative affect and autonomic arousal, or excessive fear of embarrassment, humiliation, or rejection when exposed to possible negative evaluation by others during public performance or social interactions — NOT for normal worry, temporary stress, or situational anxiety without persistence"
336,Denial,"ONLY use when caregiver initially denied/struggled to accept diagnosis: 'denied diagnosis', 'struggled to accept', 'refused to believe', 'denial phase', 'didn't accept condition' - NOT for normal questioning, seeking second opinions, or acceptance without denial phase."
337,Depression and sadness,REVIEW FEEDBACK: DO NOT confuse with [314] Mobility assistance needed.
338,Embarrassment (managing behavior of child in public),"ONLY use when caregiver feels embarrassed managing behaviors in public: 'embarrassed in public', 'ashamed of behaviors', 'humiliated in public', 'embarrassing public behaviors', 'public embarrassment' - NOT for normal parenting challenges, mild discomfort, or private embarrassment without public component."
339,Fear,"ONLY use when caregiver expresses fear related to condition: 'afraid for child', 'fear about future', 'scared of condition', 'fearful about health', 'fear for safety', which may include observable fear-induced behaviors and avoidance of fear-inducing situations at abnormal levels — NOT for normal parenting concerns, caution, or worry without specific fear, or when fear responses are at normal levels"
340,Frustration (caregiver impact),"Use when caregiver expresses frustration related to their caregiving experience. This INCLUDES frustration about: the child's condition, systemic barriers to access/resources, limitations of services or the world to support the child, dealing with insurance/bureaucracy, lack of understanding from others. Broader than just interpersonal frustration."
341,Grief Reaction,"REVIEW FEEDBACK: DO NOT confuse with [26] Repetitive behaviors (includes OCD, hand-wringing, compulsions, rituals, loud repetitive vocalizations)."
342,Guilt,"ONLY use when caregiver expresses guilt related to condition: 'feel guilty', 'blame myself', 'guilt about condition', 'guilty I caused this', 'self-blame' where the guilt is excessive, intense, out of proportion, based on incorrect judgment of responsibility, and is pervasive and enduring rather than fleeting or temporary — NOT for normal responsibility, minor regrets, or concern without guilt, or when feelings of guilt are proportionate, fleeting, or temporary"
343,"Impact on intimate relationship, marital strain, divorce","REVIEW FEEDBACK: DO NOT confuse with [281] Safety (cross street, elopement, burn risk), Judgement Impaired, Danger Awareness Decreased. | Only use when caregiver explicitly describes strain on intimate/marital relationship or divorce. General family stress or caregiving burden is NOT this code."
344,Post-traumatic stress disorder (PTSD),"ONLY use when caregiver has PTSD or trauma responses: 'PTSD', 'post-traumatic stress', 'trauma symptoms', 'flashbacks', 'hypervigilance from caregiving trauma' - NOT for normal stress, anxiety, or worry without PTSD diagnosis or trauma responses."
345,Resentment,"ONLY use when caregiver expresses resentment about caregiving burden: 'resentful about caregiving', 'bitter about situation', 'resentment toward condition', 'angry about care burden' - NOT for temporary frustration, normal emotions, or disappointment without explicit resentment."
346,"Substance abuse, includes alcoholism","ONLY use when caregiver reports problematic substance use: 'drinking too much', 'substance abuse', 'alcoholism', 'drug problem', 'addiction issues', including addiction to inhaled nitrous oxide gas (N2O) — NOT for occasional drinking, social use, or substances without abuse/dependence pattern"
347,Vigilance and flexibility needed to care for child,"ONLY use when caregiver must constantly monitor/adapt to child's needs: 'constant vigilance required', '24/7 monitoring', 'hypervigilant', 'constant flexibility needed', 'always watching' - NOT for normal parenting supervision, routine monitoring, or occasional vigilance.""icular bone drop,  Cal...)"
348,Financial Impact,"REVIEW FEEDBACK: DO NOT confuse with [365] Socialization and leisure activities reduced or modified. | Only use when caregiver explicitly describes financial costs, insurance issues, work reduction due to costs, or economic hardship related to the condition. General mention of services received does NOT imply financial impact."
349,Destruction of possessions by child,"ONLY use when child damages property causing financial/household impact: 'child destroys things', 'breaks possessions', 'property damage', 'destructive behavior costs money', 'damages belongings' - NOT for normal wear and tear, accidents, or minor breakage without significant impact."
350,Financial burden,"ONLY use when costs strain finances: 'financial burden', 'can't afford costs', 'financially struggling', 'costs overwhelming', 'economic hardship' - NOT for manageable expenses, covered costs, or minor financial impact without burden."
351,Home or vehicle modifications,includes moving or new car
352,"Work, reduced capacity","Only use when caregiver explicitly describes REDUCED WORK capacity: fewer hours, had to quit job, can't work full-time, turned down promotions, reduced responsibilities. Do NOT use for financial strain without actual work reduction — that belongs in [348] Financial Impact. Do NOT use for general stress about balancing work and caregiving without actual capacity reduction."
